id,no,tanggal_aduan,judul_klaim,aduanpantauan,jenis_materi,topik,sub_topik,lokasi,sub_lokasi,jenis_dismis_informasi,sumber_hoaks,kanal_aduan,media_rujukan
67,67,21/01/2022,SEORANG GURU NGAJI LUMPUH KARENA DIVAKSIN,PANTAUAN,TEXT,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,"INSTAGRAMKABARBANUAKALSEL, MEDCOM"
68,68,21/01/2022,METEOR AKAN JATUH DI INDONESIA PADA 7 MEI 2022,PANTAUAN,VIDEO,BENCANA ALAM,BENCANA ALAM,NASIONAL,NASIONAL,FALSE CONTEXT,TIKTOK,TIKTOK,"KOMPAS, MEDCOM"
69,69,21/01/2022,FOTO JALAN RUSAK DAN MASJID ROBOH KARENA GEMPA BANTEN 2022,PANTAUAN,GAMBAR,BENCANA ALAM,GEMPA BUMI,JAWA BARAT,KABUPATEN BOGOR,FALSE CONTEXT,WEBSITE,WEBSITE,"JAWAPOS, DETIK"
70,70,22/01/2022,BRIPDA RANDI BAGUS BELUM DIPECAT DARI KEPOLISIAN,ADUAN,TEXT,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,BENAR,INSTAGRAM,INSTAGRAM,"DETIK, CNNINDONESIA, BISNIS"
71,71,22/01/2022,SMS PEMBERITAHUAN PEMENANG UNDIAN KE-2 DARI PT SHOPEE SEBESAR RP 185 JUTA,ADUAN,TEXT,EKONOMI,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,0
72,72,22/01/2022,SMS PEMBERITAHUAN PEMENANG UNDIAN KE-2 DARI PT SHOPEE SEBESAR RP 185 JUTA,ADUAN,TEXT,EKONOMI,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,0
73,73,24/01/2022,MCDONALD'S DITUTUP 3 NEGARA KARENA MENGGUNAKAN DAGING MANUSIA,PANTAUAN,TEXT,PANGAN,MAKANAN,INTERNATIONAL,INTERNATIONAL,FABRICATED CONTENT,FACEBOOK,FACEBOOK,"USATODAY, MCDONALDS, MEDCOM"
74,74,24/01/2022,TUKUL ARWANA DIKABARKAN MENINGGAL DUNIA,PANTAUAN,VIDEO,FIGUR,FIGUR,NASIONAL,NASIONAL,FABRICATED CONTENT,YOUTUBE,YOUTUBE,"PIKIRANRAKYAT, MEDCOM"
75,75,24/01/2022,KACA INDOMARET PECAH DISERBU PEMBELI YANG BEREBUT MINYAK GORENG,PANTAUAN,GAMBAR,PANGAN,PRODUK,NASIONAL,NASIONAL,FALSE CONTEXT,FACEBOOK,FACEBOOK,"KOMPAS, KOMPAS"
76,76,24/01/2022,RAJA SALMAN MENINGGAL DUNIA,ADUAN,VIDEO,FIGUR,FIGUR,INTERNATIONAL,INTERNATIONAL,FABRICATED CONTENT,WHATSAPP,WHATSAPP,0
